t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t4::A2::jung::original | t4 | A2 | jung | original | K-Pop ist sehr populär bei jungen Menschen.
t4::A2::jung::generated | t4 | A2 | jung | generated | Junge Menschen lieben K-Pop.
t4::B1::german::original | t4 | B1 | german | original | example_sentence_de
t4::B1::german::generated | t4 | B1 | german | generated | example_sentence_de_generated
t4::B1::militärdienst::original | t4 | B1 | Militärdienst | original | Die Pause wurde durch den Militärdienst der Mitglieder ausgelöst.
t4::B1::militärdienst::generated | t4 | B1 | Militärdienst | generated | Der Militärdienst dauert in Südkorea fast zwei Jahre.
t4::B1::fangemeinde::original | t4 | B1 | Fangemeinde | original | Die sieben Sänger haben eine globale Fangemeinde aufgebaut.
t4::B1::fangemeinde::generated | t4 | B1 | Fangemeinde | generated | Die Fangemeinde ist sehr treu und aktiv.
t4::B1::selbstfindung::original | t4 | B1 | Selbstfindung | original | Texten über Selbstfindung, psychische Gesundheit und gesellschaftlichen Druck.
t4::B1::selbstfindung::generated | t4 | B1 | Selbstfindung | generated | Das Album handelt von Selbstfindung.
t4::B1::wirtschaftsfaktor::original | t4 | B1 | Wirtschaftsfaktor | original | K-Pop ist ein bedeutender Wirtschaftsfaktor für Südkorea.
t4::B1::wirtschaftsfaktor::generated | t4 | B1 | Wirtschaftsfaktor | generated | Tourismus ist ein wichtiger Wirtschaftsfaktor.
t4::B1::markt::original | t4 | B1 | Markt | original | Deutschland gehört zu den wichtigsten europäischen Märkten.
t4::B1::markt::generated | t4 | B1 | Markt | generated | Der europäische Markt ist sehr groß.
t4::B1::musikexport::original | t4 | B1 | Musikexport | original | Die Musikexporte bringen dem Land jährlich Milliarden ein.
t4::B1::musikexport::generated | t4 | B1 | Musikexport | generated | K-Pop ist ein wichtiger Musikexport.
t4::B1::ankündigen::original | t4 | B1 | ankündigen | original | BTS hat ihre Rückkehr angekündigt.
t4::B1::ankündigen::generated | t4 | B1 | ankündigen | generated | Die Band kündigt ein neues Album an.
t4::B1::aufbauen::original | t4 | B1 | aufbauen | original | Die Sänger haben eine globale Fangemeinde aufgebaut.
t4::B1::aufbauen::generated | t4 | B1 | aufbauen | generated | Sie haben eine starke Fanbasis aufgebaut.
t4::B1::mischen::original | t4 | B1 | mischen | original | Ihre Musik mischt Pop, Hip-Hop und elektronische Elemente.
t4::B1::mischen::generated | t4 | B1 | mischen | generated | Die Gruppe mischt verschiedene Musikstile.
t4::B1::auslösen::original | t4 | B1 | auslösen | original | Die Pause wurde durch den Militärdienst ausgelöst.
t4::B1::auslösen::generated | t4 | B1 | auslösen | generated | Der Konflikt hat eine Debatte ausgelöst.
t4::B1::einbringen::original | t4 | B1 | einbringen | original | Die Einnahmen bringen dem Land jährlich Milliarden ein.
t4::B1::einbringen::generated | t4 | B1 | einbringen | generated | Der Tourismus bringt viel Geld ein.
t4::B1::psychisch::original | t4 | B1 | psychisch | original | Texten über psychische Gesundheit.
t4::B1::psychisch::generated | t4 | B1 | psychisch | generated | Psychische Gesundheit ist sehr wichtig.
t4::B1::bedeutend::original | t4 | B1 | bedeutend | original | K-Pop ist ein bedeutender Wirtschaftsfaktor für Südkorea.
t4::B1::bedeutend::generated | t4 | B1 | bedeutend | generated | Das ist ein bedeutender Schritt.
t4::B1::elektronisch::original | t4 | B1 | elektronisch | original | Elektronische Elemente in der Musik.
t4::B1::elektronisch::generated | t4 | B1 | elektronisch | generated | Die Musik hat viele elektronische Einflüsse.
t4::B1::aktiv::original | t4 | B1 | aktiv | original | Über 50 Millionen aktive Mitglieder.
t4::B1::aktiv::generated | t4 | B1 | aktiv | generated | Die Fans sind sehr aktiv in sozialen Medien.
t4::B2::german::original | t4 | B2 | german | original | example_sentence_de
t4::B2::german::generated | t4 | B2 | german | generated | example_sentence_de_generated
t4::B2::wehrdienst::original | t4 | B2 | Wehrdienst | original | Die Rückkehr von BTS nach dem Abschluss des Wehrdienstes.
t4::B2::wehrdienst::generated | t4 | B2 | Wehrdienst | generated | Nach dem Wehrdienst kehrt er zur Musik zurück.
t4::B2::fanbeziehung::original | t4 | B2 | Fanbeziehung | original | Eine so intensive Fanbeziehung aufrechterhalten.
t4::B2::fanbeziehung::generated | t4 | B2 | Fanbeziehung | generated | Die Fanbeziehung von BTS ist außergewöhnlich.
t4::B2::bindung::original | t4 | B2 | Bindung | original | Die Tiefe der emotionalen Bindung.
t4::B2::bindung::generated | t4 | B2 | Bindung | generated | Die emotionale Bindung ist sehr stark.
t4::B2::vermarktung::original | t4 | B2 | Vermarktung | original | Die globale Vermarktung koreanischer Popkultur.
t4::B2::vermarktung::generated | t4 | B2 | Vermarktung | generated | Die Vermarktung des Albums war sehr erfolgreich.
t4::B2::kulturrezeption::original | t4 | B2 | Kulturrezeption | original | K-Pop ist ein Spiegel veränderter Kulturrezeption.
t4::B2::kulturrezeption::generated | t4 | B2 | Kulturrezeption | generated | Die Kulturrezeption hat sich stark verändert.
t4::B2::beleg::original | t4 | B2 | Beleg | original | Ein Beleg für die Tiefe der emotionalen Bindung.
t4::B2::beleg::generated | t4 | B2 | Beleg | generated | Das ist ein klarer Beleg für den Erfolg.
t4::B2::kulturexport::original | t4 | B2 | Kulturexport | original | Was als staatlich geförderter Kulturexport begann.
t4::B2::kulturexport::generated | t4 | B2 | Kulturexport | generated | K-Pop ist ein erfolgreicher Kulturexport.
t4::B2::aufrechterhalten::original | t4 | B2 | aufrechterhalten | original | Eine so intensive Fanbeziehung aufrechterhalten.
t4::B2::aufrechterhalten::generated | t4 | B2 | aufrechterhalten | generated | Sie haben den Kontakt zu den Fans aufrechterhalten.
t4::B2::investieren::original | t4 | B2 | investieren | original | Südkorea hat systematisch in die Ausbildung von Entertainern investiert.
t4::B2::investieren::generated | t4 | B2 | investieren | generated | Sie investieren viel in die Musikindustrie.
t4::B2::konsumieren::original | t4 | B2 | konsumieren | original | Eine Generation junger Menschen konsumiert Popkultur primär über soziale Medien.
t4::B2::konsumieren::generated | t4 | B2 | konsumieren | generated | Junge Menschen konsumieren Musik digital.
t4::B2::umfassen::original | t4 | B2 | umfassen | original | Ein globaler Markt, der Musik, Mode, Kosmetik, Film und Sprache umfasst.
t4::B2::umfassen::generated | t4 | B2 | umfassen | generated | Das Phänomen umfasst viele Bereiche.
t4::B2::emotional::original | t4 | B2 | emotional | original | Die Tiefe der emotionalen Bindung.
t4::B2::emotional::generated | t4 | B2 | emotional | generated | Die Verbindung ist sehr emotional.
t4::B2::erzwungen::original | t4 | B2 | erzwungen | original | Eine erzwungene Pause.
t4::B2::erzwungen::generated | t4 | B2 | erzwungen | generated | Die Pause war nicht freiwillig, sondern erzwungen.
t4::B2::autonom::original | t4 | B2 | autonom | original | Ein autonomer globaler Markt.
t4::B2::autonom::generated | t4 | B2 | autonom | generated | Das System funktioniert autonom.
t4::B2::undenkbar::original | t4 | B2 | undenkbar | original | Das wäre vor zwanzig Jahren undenkbar gewesen.
t4::B2::undenkbar::generated | t4 | B2 | undenkbar | generated | Solch ein Erfolg war früher undenkbar.
t4::C1::german::original | t4 | C1 | german | original | example_sentence_de
t4::C1::german::generated | t4 | C1 | german | generated | example_sentence_de_generated
t4::C1::neuordnung::original | t4 | C1 | Neuordnung | original | Die Neuordnung globaler Popkultur.
t4::C1::neuordnung::generated | t4 | C1 | Neuordnung | generated | Die Neuordnung der Musikindustrie ist im Gange.
t4::C1::dominanz::original | t4 | C1 | Dominanz | original | Weg von angloamerikanischer Dominanz.
t4::C1::dominanz::generated | t4 | C1 | Dominanz | generated | Die kulturelle Dominanz verschiebt sich.
t4::C1::ambivalenz::original | t4 | C1 | Ambivalenz | original | Die Ambivalenz des Systems.
t4::C1::ambivalenz::generated | t4 | C1 | Ambivalenz | generated | Die Ambivalenz zwischen Kunst und Industrie ist spürbar.
t4::C1::authentizität::original | t4 | C1 | Authentizität | original | Die Authentizität, die Fans erleben.
t4::C1::authentizität::generated | t4 | C1 | Authentizität | generated | Die Authentizität der Künstler wird oft hinterfragt.
t4::C1::privatsphäre::original | t4 | C1 | Privatsphäre | original | Die Privatsphäre von Idols strukturell eingeschränkt.
t4::C1::privatsphäre::generated | t4 | C1 | Privatsphäre | generated | Die Privatsphäre von Stars ist kaum vorhanden.
t4::C1::soft power::original | t4 | C1 | Soft Power | original | Hallyu ist sowohl Soft Power als auch Wirtschaftsstrategie.
t4::C1::soft power::generated | t4 | C1 | Soft Power | generated | Kultur ist ein wichtiges Instrument der Soft Power.
t4::C1::selbstakzeptanz::original | t4 | C1 | Selbstakzeptanz | original | Texte über Gesellschaftsdruck und Selbstakzeptanz.
t4::C1::selbstakzeptanz::generated | t4 | C1 | Selbstakzeptanz | generated | Selbstakzeptanz ist ein wichtiges Thema für junge Menschen.
t4::C1::imageproduktion::original | t4 | C1 | Imageproduktion | original | Das Produkt hochentwickelter Imageproduktion.
t4::C1::imageproduktion::generated | t4 | C1 | Imageproduktion | generated | Die Imageproduktion in der K-Pop-Industrie ist komplex.
t4::C1::markieren::original | t4 | C1 | markieren | original | Die Rückkehr von BTS markiert einen Moment.
t4::C1::markieren::generated | t4 | C1 | markieren | generated | Das Ereignis markiert einen Wendepunkt.
t4::C1::verschieben::original | t4 | C1 | verschieben | original | Wie grundlegend sich die globale Popkultur verschoben hat.
t4::C1::verschieben::generated | t4 | C1 | verschieben | generated | Das Gleichgewicht hat sich verschoben.
t4::C1::generieren::original | t4 | C1 | generieren | original | Eine Industrie, die jährlich mehr als 12 Milliarden US-Dollar generiert.
t4::C1::generieren::generated | t4 | C1 | generieren | generated | K-Pop generiert enorme Einnahmen.
t4::C1::einschränken::original | t4 | C1 | einschränken | original | Die Privatsphäre von Idols strukturell eingeschränkt.
t4::C1::einschränken::generated | t4 | C1 | einschränken | generated | Der Vertrag schränkt ihre Freiheit stark ein.
t4::C1::multipolar::original | t4 | C1 | multipolar | original | Ein multipolarer Markt.
t4::C1::multipolar::generated | t4 | C1 | multipolar | generated | Die Welt wird zunehmend multipolar.
t4::C1::konsistent::original | t4 | C1 | konsistent | original | Ergebnis einer konsistenten Kulturpolitik.
t4::C1::konsistent::generated | t4 | C1 | konsistent | generated | Die Strategie ist sehr konsistent.
t4::C1::eigenständig::original | t4 | C1 | eigenständig | original | Eine eigenständige globale Reichweite entwickeln.
t4::C1::eigenständig::generated | t4 | C1 | eigenständig | generated | Sie haben eine eigenständige künstlerische Stimme.
t4::C1::industrialisiert::original | t4 | C1 | industrialisiert | original | Ausbildung von Idols nach einem industrialisierten Trainingssystem.
t4::C1::industrialisiert::generated | t4 | C1 | industrialisiert | generated | Das Trainingssystem ist stark industrialisiert.
t4::C1::belastend::original | t4 | C1 | belastend | original | Die Ausbildungsbedingungen sind streng, gelegentlich belastend.
t4::C1::belastend::generated | t4 | C1 | belastend | generated | Die Arbeitsbedingungen können sehr belastend sein.
t4::C1::künstlerisch::original | t4 | C1 | künstlerisch | original | Eine eigene künstlerische Stimme zu entwickeln.
t4::C1::künstlerisch::generated | t4 | C1 | künstlerisch | generated | Sie haben eine starke künstlerische Identität.
t4::C1::frühzeitig::original | t4 | C1 | frühzeitig | original | Die frühzeitige Nutzung digitaler Plattformen.
t4::C1::frühzeitig::generated | t4 | C1 | frühzeitig | generated | Die frühzeitige Investition hat sich ausgezahlt.
t4::C1::hochentwickelt::original | t4 | C1 | hochentwickelt | original | Das Produkt hochentwickelter Imageproduktion.
t4::C1::hochentwickelt::generated | t4 | C1 | hochentwickelt | generated | Das ist ein hochentwickeltes System.
t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::A2::german::generated | t1 | A2 | german | generated | example_sentence_de_generated
t1::A2::das abitur::original | t1 | A2 | das Abitur | original | Das Abitur ist sehr wichtig.
t1::A2::das abitur::generated | t1 | A2 | das Abitur | generated | Das Abitur beginnt im April.
t1::A2::die prüfung::original | t1 | A2 | die Prüfung | original | Es ist die letzte Prüfung in der Schule.
t1::A2::die prüfung::generated | t1 | A2 | die Prüfung | generated | Die Prüfung ist morgen.
t1::A2::der schüler::original | t1 | A2 | der Schüler | original | Die Schüler müssen viel lernen.
t1::A2::der schüler::generated | t1 | A2 | der Schüler | generated | Der Schüler lernt jeden Tag.
t1::A2::die schule::original | t1 | A2 | die Schule | original | Es ist die letzte Prüfung in der Schule.
t1::A2::die schule::generated | t1 | A2 | die Schule | generated | Die Schule beginnt um acht Uhr.
t1::A2::die familie::original | t1 | A2 | die Familie | original | Viele Familien feiern das Abitur.
t1::A2::die familie::generated | t1 | A2 | die Familie | generated | Die Familie ist sehr wichtig.
t1::A2::die universität::original | t1 | A2 | die Universität | original | Nach dem Abitur können die Schüler zur Universität gehen.
t1::A2::die universität::generated | t1 | A2 | die Universität | generated | Er geht an die Universität.
t1::A2::der beruf::original | t1 | A2 | der Beruf | original | Nach dem Abitur können die Schüler einen Beruf lernen.
t1::A2::der beruf::generated | t1 | A2 | der Beruf | generated | Welchen Beruf möchtest du lernen?
t1::A2::der tag::original | t1 | A2 | der Tag | original | Es ist ein großer Tag für die Familie.



Hola, buenos días. Me gustaría comentaros que no me encuentro aún bien, probablemente el médico me renueve la baja en la próxima revisión. Estoy haciéndome pruebas y necesito repetir otras probablemente. Solo es de carácter informativo y, nada, que lo siento mucho porque yo hubiera querido incorporarme ya.

Un saludo







t4::B2::geordnet::original | t4 | B2 | geordnet | original | La evacuación se desarrolló de forma ordenada.
t4::B2::geordnet::generated | t4 | B2 | geordnet | generated | Die Evakuierung verlief geordnet und ohne Panik.
t4::B2::regelmässig::original | t4 | B2 | regelmäßig | original | El personal había realizado regularmente simulacros de incendio.
t4::B2::regelmässig::generated | t4 | B2 | regelmäßig | generated | Sie trainiert regelmäßig für Notfallsituationen.
t4::B2::ausdrücklich::original | t4 | B2 | ausdrücklich | original | El portavoz de bomberos Hensel dio expresamente importancia a la circunstancia.
t4::B2::ausdrücklich::generated | t4 | B2 | ausdrücklich | generated | Er hat ausdrücklich darauf hingewiesen.
t4::C1::german::original | t4 | C1 | german | original | example_sentence_de
t4::C1::german::generated | t4 | C1 | german | generated | example_sentence_de_generated
t4::C1::die vulnerabilität::original | t4 | C1 | die Vulnerabilität | original | Brandstiftung ist ein Hinweis auf eine weitere Vulnerabilität psychiatrischer Einrichtungen.
t4::C1::die vulnerabilität::generated | t4 | C1 | die Vulnerabilität | generated | Die Vulnerabilität dieser Einrichtungen wird oft unterschätzt.
t4::C1::das spannungsfeld::original | t4 | C1 | das Spannungsfeld | original | Spannungsfelder zwischen Therapiefreiheit und Schutzpflicht sind strukturell angelegt.
t4::C1::das spannungsfeld::generated | t4 | C1 | das Spannungsfeld | generated | Das Spannungsfeld zwischen Sicherheit und Freiheit ist komplex.
t4::C1::die schutzpflicht::original | t4 | C1 | die Schutzpflicht | original | Spannungsfelder zwischen Therapiefreiheit und Schutzpflicht.
t4::C1::die schutzpflicht::generated | t4 | C1 | die Schutzpflicht | generated | Die Schutzpflicht des Staates gegenüber Patienten ist klar.
t4::C1::die notfallvorbereitung::original | t4 | C1 | die Notfallvorbereitung | original | Kleineren Einrichtungen fehlen Ressourcen für eine systematische Notfallvorbereitung.
t4::C1::die notfallvorbereitung::generated | t4 | C1 | die Notfallvorbereitung | generated | Eine gute Notfallvorbereitung kann Leben retten.
t4::C1::die stationsführung::original | t4 | C1 | die Stationsführung | original | Spannungsfelder zwischen offener Stationsführung und Sicherheitserfordernissen.
t4::C1::die stationsführung::generated | t4 | C1 | die Stationsführung | generated | Die offene Stationsführung ist ein Prinzip der modernen Psychiatrie.
t4::C1::der einzelfall::original | t4 | C1 | der Einzelfall | original | Der Einsatz wirft Fragen auf, die über den konkreten Einzelfall hinausgehen.
t4::C1::der einzelfall::generated | t4 | C1 | der Einzelfall | generated | Man darf nicht jeden Einzelfall verallgemeinern.
t4::C1::die einrichtung::original | t4 | C1 | die Einrichtung | original | Wie gut sind psychiatrische Einrichtungen für Brandschutzszenarien aufgestellt?
t4::C1::die einrichtung::generated | t4 | C1 | die Einrichtung | generated | Die Einrichtung verfügt über moderne Sicherheitsstandards.
t4::C1::aufwerfen::original | t4 | C1 | aufwerfen | original | El operativo plantea preguntas que van más allá del caso concreto.
t4::C1::aufwerfen::generated | t4 | C1 | aufwerfen | generated | Der Vorfall wirft grundlegende Fragen auf.
t4::C1::hinausgehen über::original | t4 | C1 | hinausgehen über | original | El operativo plantea preguntas que van más allá del caso concreto.
t4::C1::hinausgehen über::generated | t4 | C1 | hinausgehen über | generated | Die Auswirkungen gehen weit über die Region hinaus.
t4::C1::thematisieren::original | t4 | C1 | thematisieren | original | Una vulnerabilidad que raramente se aborda en público.
t4::C1::thematisieren::generated | t4 | C1 | thematisieren | generated | Das Problem wird in den Medien kaum thematisiert.
t4::C1::voraussetzen::original | t4 | C1 | voraussetzen | original | Debería ser motivo para no dar por sentado la protección contra incendios.
t4::C1::voraussetzen::generated | t4 | C1 | voraussetzen | generated | Man sollte nicht voraussetzen, dass alle Vorschriften befolgt werden.
t4::C1::glimpflich::original | t4 | C1 | glimpflich | original | El gran incendio tuvo un desenlace sin consecuencias graves.
t4::C1::glimpflich::generated | t4 | C1 | glimpflich | generated | Das Unglück ist noch glimpflich ausgegangen.
t4::C1::medikamentenbedingt::original | t4 | C1 | medikamentenbedingt | original | Los pacientes pueden tener reacciones retardadas debido a los medicamentos.
t4::C1::medikamentenbedingt::generated | t4 | C1 | medikamentenbedingt | generated | Medikamentenbedingte Nebenwirkungen können gefährlich sein.
t4::C1::desorientiert::original | t4 | C1 | desorientiert | original | Los pacientes pueden estar desorientados o en crisis agudas.
t4::C1::desorientiert::generated | t4 | C1 | desorientiert | generated | Ältere Patienten sind im Notfall oft desorientiert.
t4::C1::strukturell::original | t4 | C1 | strukturell | original | Los campos de tensión son estructurales en la psiquiatría.
t4::C1::strukturell::generated | t4 | C1 | strukturell | generated | Das ist ein strukturell angelegtes Problem.
t4::C1::personell::original | t4 | C1 | personell | original | A los centros más pequeños les faltan los recursos de personal.
t4::C1::personell::generated | t4 | C1 | personell | generated | Die personellen Ressourcen reichen nicht aus.
t4::C1::systematisch::original | t4 | C1 | systematisch | original | A los centros más pequeños les faltan recursos para una preparación sistemática.
t4::C1::systematisch::generated | t4 | C1 | systematisch | generated | Eine systematische Vorbereitung ist unerlässlich.
t4::C1::eindeutig::original | t4 | C1 | eindeutig | original | La respuesta no es inequívoca.
t4::C1::eindeutig::generated | t4 | C1 | eindeutig | generated | Eine eindeutige Antwort gibt es in diesem Fall nicht.
t4::C1::sensibel::original | t4 | C1 | sensibel | original | No dar por sentado la protección contra incendios en instituciones delicadas.
t4::C1::sensibel::generated | t4 | C1 | sensibel | generated | Psychiatrische Kliniken sind besonders sensible Einrichtungen.
t4::C1::selbstverständlich::original | t4 | C1 | selbstverständlich | original | La protección contra incendios no debería darse por obvia.
t4::C1::selbstverständlich::generated | t4 | C1 | selbstverständlich | generated | Gute Vorbereitung ist nicht selbstverständlich.
t5::A2::german::original | t5 | A2 | german | original | example_sentence_de
t5::A2::german::generated | t5 | A2 | german | generated | example_sentence_de_generated
t5::A2::das wetter::original | t5 | A2 | das Wetter | original | Das warme Wasser verändert das Wetter auf der ganzen Welt.
t5::A2::das wetter::generated | t5 | A2 | das Wetter | generated | Das Wetter in Europa wird heißer.
t5::A2::der ozean::original | t5 | A2 | der Ozean | original | Das warme Wasser im Ozean verändert das Wetter.
t5::A2::der ozean::generated | t5 | A2 | der Ozean | generated | Der Pazifik ist der größte Ozean.
t5::A2::das klima::original | t5 | A2 | das Klima | original | Das Klima verändert sich, und wir müssen damit umgehen.
t5::A2::das klima::generated | t5 | A2 | das Klima | generated | Das Klima in Europa verändert sich.
t5::A2::die massnahme::original | t5 | A2 | die Maßnahme | original | Mehr Wasser trinken und Energie sparen sind wichtige Maßnahmen.
t5::A2::die massnahme::generated | t5 | A2 | die Maßnahme | generated | Die Regierung plant neue Maßnahmen.
t5::A2::der sturm::original | t5 | A2 | der Sturm | original | Es kann auch mehr Sturm geben.
t5::A2::der sturm::generated | t5 | A2 | der Sturm | generated | Der Sturm war sehr stark.
t5::A2::die energie::original | t5 | A2 | die Energie | original | Energie sparen ist eine wichtige Maßnahme.
t5::A2::die energie::generated | t5 | A2 | die Energie | generated | Wir müssen Energie sparen.
t5::A2::der wissenschaftler::original | t5 | A2 | der Wissenschaftler | original | Wissenschaftler sagen: Im Jahr 2026 könnte El Niño stark werden.
t5::A2::der wissenschaftler::generated | t5 | A2 | der Wissenschaftler | generated | Der Wissenschaftler erklärt das Phänomen.
t5::A2::vorbereiten::original | t5 | A2 | vorbereiten | original | La gente debe prepararse.
t5::A2::vorbereiten::generated | t5 | A2 | vorbereiten | generated | Wir müssen uns auf den Sommer vorbereiten.
t5::A2::verändern::original | t5 | A2 | verändern | original | El clima está cambiando.
t5::A2::verändern::generated | t5 | A2 | verändern | generated | Das Wetter verändert sich immer schneller.
t5::A2::sparen::original | t5 | A2 | sparen | original | Ahorrar energía es una medida importante.
t5::A2::sparen::generated | t5 | A2 | sparen | generated | Wir sollten mehr Wasser sparen.
t5::A2::heiss::original | t5 | A2 | heiß | original | En Europa puede volverse muy caluroso y seco.
t5::A2::heiss::generated | t5 | A2 | heiß | generated | Der Sommer ist in Spanien sehr heiß.
t5::A2::trocken::original | t5 | A2 | trocken | original | En Europa puede volverse muy caluroso y seco.
t5::A2::trocken::generated | t5 | A2 | trocken | generated | Der Sommer war sehr trocken.
t5::A2::stark::original | t5 | A2 | stark | original | En algunos años El Niño es muy fuerte.
t5::A2::stark::generated | t5 | A2 | stark | generated | Der Sturm war sehr stark.
t5::A2::warm::original | t5 | A2 | warm | original | El agua caliente del océano cambia el tiempo.
t5::A2::warm::generated | t5 | A2 | warm | generated | Das Wasser im Pazifik ist sehr warm.
t5::A2::wichtig::original | t5 | A2 | wichtig | original | Beber más agua y ahorrar energía son medidas importantes.
t5::A2::wichtig::generated | t5 | A2 | wichtig | generated | Es ist wichtig, sich auf den Klimawandel vorzubereiten.
t5::B1::german::original | t5 | B1 | german | original | example_sentence_de
t5::B1::german::generated | t5 | B1 | german | generated | example_sentence_de_generated
t5::B1::die hitzewelle::original | t5 | B1 | die Hitzewelle | original | Droht Europa eine neue Hitzewelle?
t5::B1::die hitzewelle::generated | t5 | B1 | die Hitzewelle | generated | Die Hitzewelle im Sommer war ungewöhnlich lang.
t5::B1::die erwärmung::original | t5 | B1 | die Erwärmung | original | El Niño ist eine Erwärmung des Pazifischen Ozeans.
t5::B1::die erwärmung::generated | t5 | B1 | die Erwärmung | generated | Die Erwärmung der Meere ist ein ernstes Problem.
t5::B1::die meeresströmung::original | t5 | B1 | die Meeresströmung | original | Veränderte Wind- und Meeresströmungen sprechen dafür.
t5::B1::die meeresströmung::generated | t5 | B1 | die Meeresströmung | generated | Meeresströmungen beeinflussen das Klima weltweit.
t5::B1::die auswirkung::original | t5 | B1 | die Auswirkung | original | Deutschland und seine Nachbarländer spüren die Auswirkungen.
t5::B1::die auswirkung::generated | t5 | B1 | die Auswirkung | generated | Die Auswirkungen des Klimawandels sind spürbar.
t5::B1::der vorbote::original | t5 | B1 | der Vorbote | original | Der vergangene April könnte ein Vorbote sein.
t5::B1::der vorbote::generated | t5 | B1 | der Vorbote | generated | Diese Hitzewelle war ein Vorbote für den Sommer.
t5::B1::der waldband::original | t5 | B1 | der Waldband | original | Es gibt eine größere Gefahr von Waldbränden im Sommer.
t5::B1::der waldband::generated | t5 | B1 | der Waldband | generated | Waldbrände werden durch Trockenheit begünstigt.
t5::B1::der klimawandel::original | t5 | B1 | der Klimawandel | original | Der menschengemachte Klimawandel verstärkt die Effekte zusätzlich.
t5::B1::der klimawandel::generated | t5 | B1 | der Klimawandel | generated | Der Klimawandel ist eine der größten Herausforderungen unserer Zeit.
t5::B1::warnen vor::original | t5 | B1 | warnen vor | original | Los científicos advierten de un fuerte evento de El Niño.
t5::B1::warnen vor::generated | t5 | B1 | warnen vor | generated | Experten warnen vor einer langen Trockenheit.
t5::B1::beeinflussen::original | t5 | B1 | beeinflussen | original | El Niño es un calentamiento que influye en el tiempo en todo el mundo.
t5::B1::beeinflussen::generated | t5 | B1 | beeinflussen | generated | Das Wetter beeinflusst unser Wohlbefinden.
t5::B1::verstärken::original | t5 | B1 | verstärken | original | El cambio climático de origen humano amplifica adicionalmente los efectos.
t5::B1::verstärken::generated | t5 | B1 | verstärken | generated | Der Wind verstärkt die Wirkung der Kälte.
t5::B1::betonen::original | t5 | B1 | betonen | original | Los investigadores del clima subrayan que El Niño por sí solo no es responsable.
t5::B1::betonen::generated | t5 | B1 | betonen | generated | Die Experten betonen die Wichtigkeit von Prävention.
t5::B1::menschengemacht::original | t5 | B1 | menschengemacht | original | El cambio climático de origen humano amplifica los efectos.
t5::B1::menschengemacht::generated | t5 | B1 | menschengemacht | generated | Der menschengemachte Klimawandel ist wissenschaftlich belegt.
t5::B1::intensiv::original | t5 | B1 | intensiv | original | El fenómeno podría ser especialmente intenso este año.
t5::B1::intensiv::generated | t5 | B1 | intensiv | generated | Das Ereignis war besonders intensiv.
t5::B1::betroffen::original | t5 | B1 | betroffen | original | El sur de Europa está especialmente afectado.
t5::B1::betroffen::generated | t5 | B1 | betroffen | generated | Die südlichen Regionen sind am stärksten betroffen.
t5::B1::verantwortlich::original | t5 | B1 | verantwortlich | original | El Niño por sí solo no es responsable del calentamiento.
t5::B1::verantwortlich::generated | t5 | B1 | verantwortlich | generated | Wer ist für diese Entscheidung verantwortlich?
t5::B2::german::original | t5 | B2 | german | original | example_sentence_de
t5::B2::german::generated | t5 | B2 | german | generated | example_sentence_de_generated
t5::B2::das messdatum::original | t5 | B2 | das Messdatum | original | Ozeanographische Messdaten deuten auf ein stärkeres El-Niño-Ereignis hin.
t5::B2::das messdatum::generated | t5 | B2 | das Messdatum | generated | Die Messdaten zeigen einen klaren Trend zur Erwärmung.
t5::B2::das zirkulationsmuster::original | t5 | B2 | das Zirkulationsmuster | original | El Niño verändert atmosphärische Zirkulationsmuster.
t5::B2::das zirkulationsmuster::generated | t5 | B2 | das Zirkulationsmuster | generated | Die Veränderung der Zirkulationsmuster beeinflusst das Wetter weltweit.
t5::B2::das niederschlagsverhalten::original | t5 | B2 | das Niederschlagsverhalten | original | El Niño kann zu verändertem Niederschlagsverhalten in Mitteleuropa führen.
t5::B2::das niederschlagsverhalten::generated | t5 | B2 | das Niederschlagsverhalten | generated | Das veränderte Niederschlagsverhalten bedroht die Landwirtschaft.
t5::B2::die wasserversorgung::original | t5 | B2 | die Wasserversorgung | original | Für Deutschland ist besonders die Wasserversorgung gefährdet.
t5::B2::die wasserversorgung::generated | t5 | B2 | die Wasserversorgung | generated | Die Wasserversorgung in Südeuropa ist durch Trockenheit bedroht.
t5::B2::das hitzefrühwarnsystem::original | t5 | B2 | das Hitzefrühwarnsystem | original | Der Deutsche Wetterdienst will seine Hitzefrühwarnsysteme frühzeitig aktivieren.
t5::B2::das hitzefrühwarnsystem::generated | t5 | B2 | das Hitzefrühwarnsystem | generated | Hitzefrühwarnsysteme können Leben retten.
t5::B2::die oberflächentemperatur::original | t5 | B2 | die Oberflächentemperatur | original | Die Oberflächentemperaturen im äquatorialen Pazifik liegen über dem Mittel.
t5::B2::die oberflächentemperatur::generated | t5 | B2 | die Oberflächentemperatur | generated | Die Oberflächentemperaturen der Meere steigen weiter an.
t5::B2::die wahrscheinlichkeit::original | t5 | B2 | die Wahrscheinlichkeit | original | Klimamodelle verknüpfen das Muster mit einer erhöhten Wahrscheinlichkeit für Hitzesommer.
t5::B2::die wahrscheinlichkeit::generated | t5 | B2 | die Wahrscheinlichkeit | generated | Die Wahrscheinlichkeit eines heißen Sommers ist hoch.
