t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t4::C1::künstlerisch::generated | t4 | C1 | künstlerisch | generated | Sie haben eine starke künstlerische Identität.
t4::C1::frühzeitig::original | t4 | C1 | frühzeitig | original | Die frühzeitige Nutzung digitaler Plattformen.
t4::C1::frühzeitig::generated | t4 | C1 | frühzeitig | generated | Die frühzeitige Investition hat sich ausgezahlt.
t4::C1::hochentwickelt::original | t4 | C1 | hochentwickelt | original | Das Produkt hochentwickelter Imageproduktion.
t4::C1::hochentwickelt::generated | t4 | C1 | hochentwickelt | generated | Das ist ein hochentwickeltes System.
t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::A2::german::generated | t1 | A2 | german | generated | example_sentence_de_generated
t1::A2::die studie::original | t1 | A2 | die Studie | original | April 2026 — ZDF heute Eine neue Studie zeigt: Viele junge Menschen in Deutschland sind sehr gestresst.
t1::A2::gestresst::original | t1 | A2 | gestresst | original | April 2026 — ZDF heute Eine neue Studie zeigt: Viele junge Menschen in Deutschland sind sehr gestresst.
t1::A2::die angst::original | t1 | A2 | die Angst | original | Sie haben Angst vor der Zukunft.
t1::A2::die zukunft::original | t1 | A2 | die Zukunft | original | Sie haben Angst vor der Zukunft.
t1::A2::das ergebnis::original | t1 | A2 | das Ergebnis | original | Das sind die Ergebnisse der Jugendstudie 2026.
t1::A2::die jugendstudie::original | t1 | A2 | die Jugendstudie | original | Das sind die Ergebnisse der Jugendstudie 2026.
t1::A2::psychologisch::original | t1 | A2 | psychologisch | original | 30 Prozent der jungen Menschen brauchen psychologische Hilfe.
t1::A2::die hilfe::original | t1 | A2 | die Hilfe | original | 30 Prozent der jungen Menschen brauchen psychologische Hilfe.
t1::A2::der rekord::original | t1 | A2 | der Rekord | original | Das ist ein Rekord.
t1::A2::die sorge::original | t1 | A2 | die Sorge | original | Die größten Sorgen sind: Krieg, Wohnungspreise und die Wirtschaft.
t1::A2::der krieg::original | t1 | A2 | der Krieg | original | Die größten Sorgen sind: Krieg, Wohnungspreise und die Wirtschaft.
t1::A2::der wohnungspreis::original | t1 | A2 | der Wohnungspreis | original | Die größten Sorgen sind: Krieg, Wohnungspreise und die Wirtschaft.
t1::A2::die wirtschaft::original | t1 | A2 | die Wirtschaft | original | Die größten Sorgen sind: Krieg, Wohnungspreise und die Wirtschaft.
t1::A2::darüber nachdenken::original | t1 | A2 | darüber nachdenken | original | 41 Prozent der 14- bis 29-Jährigen denken darüber nach, Deutschland zu verlassen.
t1::A2::verlassen::original | t1 | A2 | verlassen | original | 41 Prozent der 14- bis 29-Jährigen denken darüber nach, Deutschland zu verlassen.
t1::A2::das signal::original | t1 | A2 | das Signal | original | Das ist ein wichtiges Signal für die Politik.
t1::A2::die politik::original | t1 | A2 | die Politik | original | Das ist ein wichtiges Signal für die Politik.
t1::B1::german::original | t1 | B1 | german | original | example_sentence_de
t1::B1::german::generated | t1 | B1 | german | generated | example_sentence_de_generated
t1::B1::die trendstudie::original | t1 | B1 | die Trendstudie | original | April 2026 — ZDF heute Die neue Trendstudie „Jugend in Deutschland 2026 – Zukunft unter Druck" zeichnet ein besorgniserregendes Bild.
t1::B1::zeichnen::original | t1 | B1 | zeichnen | original | April 2026 — ZDF heute Die neue Trendstudie „Jugend in Deutschland 2026 – Zukunft unter Druck" zeichnet ein besorgniserregendes Bild.
t1::B1::besorgniserregend::original | t1 | B1 | besorgniserregend | original | April 2026 — ZDF heute Die neue Trendstudie „Jugend in Deutschland 2026 – Zukunft unter Druck" zeichnet ein besorgniserregendes Bild.
t1::B1::befragen::original | t1 | B1 | befragen | original | Rund 2.000 junge Menschen zwischen 14 und 29 Jahren wurden befragt.
t1::B1::der zweifel::original | t1 | B1 | der Zweifel | original | Das Ergebnis: Psychischer Stress, finanzielle Sorgen und Zweifel an der Zukunft prägen den Alltag vieler Jugendlicher.
t1::B1::prägen::original | t1 | B1 | prägen | original | Das Ergebnis: Psychischer Stress, finanzielle Sorgen und Zweifel an der Zukunft prägen den Alltag vieler Jugendlicher.
t1::B1::der alltag::original | t1 | B1 | der Alltag | original | Das Ergebnis: Psychischer Stress, finanzielle Sorgen und Zweifel an der Zukunft prägen den Alltag vieler Jugendlicher.
t1::B1::auffallend::original | t1 | B1 | auffallend | original | Besonders auffallend: 41 Prozent der Befragten können sich vorstellen, künftig lieber in einem anderen Land zu leben.
t1::B1::die befragten::original | t1 | B1 | die Befragten | original | Besonders auffallend: 41 Prozent der Befragten können sich vorstellen, künftig lieber in einem anderen Land zu leben.
t1::B1::sich vorstellen::original | t1 | B1 | sich vorstellen | original | Besonders auffallend: 41 Prozent der Befragten können sich vorstellen, künftig lieber in einem anderen Land zu leben.
t1::B1::künftig::original | t1 | B1 | künftig | original | Besonders auffallend: 41 Prozent der Befragten können sich vorstellen, künftig lieber in einem anderen Land zu leben.
t1::B1::die wohnungsnot::original | t1 | B1 | die Wohnungsnot | original | Als Gründe werden vor allem die Wohnungsnot, unsichere Jobperspektiven und das allgemeine politische Klima genannt.
t1::B1::die jobperspektive::original | t1 | B1 | die Jobperspektive | original | Als Gründe werden vor allem die Wohnungsnot, unsichere Jobperspektiven und das allgemeine politische Klima genannt.
t1::B1::der jugendforscher::original | t1 | B1 | der Jugendforscher | original | Jugendforscher Klaus Hurrelmann von der Hertie School Berlin fordert mehr Beteiligung junger Menschen in der Politik.
t1::B1::fordern::original | t1 | B1 | fordern | original | Jugendforscher Klaus Hurrelmann von der Hertie School Berlin fordert mehr Beteiligung junger Menschen in der Politik.
t1::B1::die beteiligung::original | t1 | B1 | die Beteiligung | original | Jugendforscher Klaus Hurrelmann von der Hertie School Berlin fordert mehr Beteiligung junger Menschen in der Politik.
t1::B1::das vertrauen::original | t1 | B1 | das Vertrauen | original | Die Gesellschaft müsse der jungen Generation mehr Vertrauen schenken – sonst drohe eine dauerhafte politische Entfremdung.
t1::B1::drohen::original | t1 | B1 | drohen | original | Die Gesellschaft müsse der jungen Generation mehr Vertrauen schenken – sonst drohe eine dauerhafte politische Entfremdung.
t1::B1::dauerhaft::original | t1 | B1 | dauerhaft | original | Die Gesellschaft müsse der jungen Generation mehr Vertrauen schenken – sonst drohe eine dauerhafte politische Entfremdung.
t1::B1::die entfremdung::original | t1 | B1 | die Entfremdung | original | Die Gesellschaft müsse der jungen Generation mehr Vertrauen schenken – sonst drohe eine dauerhafte politische Entfremdung.
t1::B2::german::original | t1 | B2 | german | original | example_sentence_de
t1::B2::german::generated | t1 | B2 | german | generated | example_sentence_de_generated
t1::B2::die ausgabe::original | t1 | B2 | die Ausgabe | original | April 2026 — ZDF heute Die neunte Ausgabe der Trendstudie „Jugend in Deutschland" liefert alarmante Befunde.
t1::B2::liefern::original | t1 | B2 | liefern | original | April 2026 — ZDF heute Die neunte Ausgabe der Trendstudie „Jugend in Deutschland" liefert alarmante Befunde.
t1::B2::der befund::original | t1 | B2 | der Befund | original | April 2026 — ZDF heute Die neunte Ausgabe der Trendstudie „Jugend in Deutschland" liefert alarmante Befunde.
t1::B2::angeben::original | t1 | B2 | angeben | original | Unter den 2.012 befragten 14- bis 29-Jährigen gibt jeder Dritte an, psychologische Unterstützung zu benötigen – ein historischer Höchstwert.
t1::B2::der höchstwert::original | t1 | B2 | der Höchstwert | original | Unter den 2.012 befragten 14- bis 29-Jährigen gibt jeder Dritte an, psychologische Unterstützung zu benötigen – ein historischer Höchstwert.
t1::B2::der nahe osten::original | t1 | B2 | der Nahe Osten | original | Die Hauptsorgen der Befragten: Kriege in Europa und Nahost (62 Prozent), teure Wohnungen (58 Prozent) und wirtschaftliche Unsicherheit.
t1::B2::die unsicherheit::original | t1 | B2 | die Unsicherheit | original | Die Hauptsorgen der Befragten: Kriege in Europa und Nahost (62 Prozent), teure Wohnungen (58 Prozent) und wirtschaftliche Unsicherheit.
t1::B2::bemerkenswert::original | t1 | B2 | bemerkenswert | original | Besonders bemerkenswert ist die gestiegene Auswanderungsbereitschaft.
t1::B2::die auswanderungsbereitschaft::original | t1 | B2 | die Auswanderungsbereitschaft | original | Besonders bemerkenswert ist die gestiegene Auswanderungsbereitschaft.
t1::B2::gehört werden::original | t1 | B2 | gehört werden | original | Als Hauptmotiv wird neben der Wohnungsnot auch das Gefühl genannt, in Deutschland politisch nicht gehört zu werden.
t1::B2::die bildungsforscherin::original | t1 | B2 | die Bildungsforscherin | original | Bildungsforscherin Nina Kolleck von der Universität Potsdam sieht die Ergebnisse als politischen Weckruf: Junge Menschen seien nicht apathisch, sondern enttäuscht.
t1::B2::der weckruf::original | t1 | B2 | der Weckruf | original | Bildungsforscherin Nina Kolleck von der Universität Potsdam sieht die Ergebnisse als politischen Weckruf: Junge Menschen seien nicht apathisch, sondern enttäuscht.
t1::B2::apathisch::original | t1 | B2 | apathisch | original | Bildungsforscherin Nina Kolleck von der Universität Potsdam sieht die Ergebnisse als politischen Weckruf: Junge Menschen seien nicht apathisch, sondern enttäuscht.
t1::B2::enttäuscht::original | t1 | B2 | enttäuscht | original | Bildungsforscherin Nina Kolleck von der Universität Potsdam sieht die Ergebnisse als politischen Weckruf: Junge Menschen seien nicht apathisch, sondern enttäuscht.
t1::B2::zurückgewinnen::original | t1 | B2 | zurückgewinnen | original | Wer sie zurückgewinnen wolle, müsse echte Beteiligungsformen schaffen – keine Symbolpolitik.
t1::B2::die symbolpolitik::original | t1 | B2 | die Symbolpolitik | original | Wer sie zurückgewinnen wolle, müsse echte Beteiligungsformen schaffen – keine Symbolpolitik.
t1::C1::german::original | t1 | C1 | german | original | example_sentence_de
t1::C1::german::generated | t1 | C1 | german | generated | example_sentence_de_generated
t1::C1::der stimmungsbericht::original | t1 | C1 | der Stimmungsbericht | original | April 2026 — ZDF heute Die Trendstudie „Jugend in Deutschland 2026" ist kein bloßer Stimmungsbericht – sie ist eine Strukturdiagnose.
t1::C1::die strukturdiagnose::original | t1 | C1 | die Strukturdiagnose | original | April 2026 — ZDF heute Die Trendstudie „Jugend in Deutschland 2026" ist kein bloßer Stimmungsbericht – sie ist eine Strukturdiagnose.
t1::C1::die jobmarktprekarität::original | t1 | C1 | die Jobmarktprekarität | original | Dass 41 Prozent der 14- bis 29-Jährigen ernsthaft über Auswanderung nachdenken, ist nicht primär ein Zeichen individueller Unzufriedenheit, sondern ein Indikator für kollektive Erfahrungen: Wohnungsnot, Jobmarktprekarität, politische Exklusion und die Kumulation von Krisenwahrnehmungen, die seit der Pandemie nicht mehr abgeebbt ist.
t1::C1::die exklusion::original | t1 | C1 | die Exklusion | original | Dass 41 Prozent der 14- bis 29-Jährigen ernsthaft über Auswanderung nachdenken, ist nicht primär ein Zeichen individueller Unzufriedenheit, sondern ein Indikator für kollektive Erfahrungen: Wohnungsnot, Jobmarktprekarität, politische Exklusion und die Kumulation von Krisenwahrnehmungen, die seit der Pandemie nicht mehr abgeebbt ist.
t1::C1::die kumulation::original | t1 | C1 | die Kumulation | original | Dass 41 Prozent der 14- bis 29-Jährigen ernsthaft über Auswanderung nachdenken, ist nicht primär ein Zeichen individueller Unzufriedenheit, sondern ein Indikator für kollektive Erfahrungen: Wohnungsnot, Jobmarktprekarität, politische Exklusion und die Kumulation von Krisenwahrnehmungen, die seit der Pandemie nicht mehr abgeebbt ist.
t1::C1::abebben::original | t1 | C1 | abebben | original | Dass 41 Prozent der 14- bis 29-Jährigen ernsthaft über Auswanderung nachdenken, ist nicht primär ein Zeichen individueller Unzufriedenheit, sondern ein Indikator für kollektive Erfahrungen: Wohnungsnot, Jobmarktprekarität, politische Exklusion und die Kumulation von Krisenwahrnehmungen, die seit der Pandemie nicht mehr abgeebbt ist.
t1::C1::aufschlussreich::original | t1 | C1 | aufschlussreich | original | Besonders aufschlussreich ist der Befund zur psychischen Gesundheit.
t1::C1::die versorgungskapazität::original | t1 | C1 | die Versorgungskapazität | original | 30 Prozent der Befragten geben an, psychologische Unterstützung zu benötigen – ein Wert, der die Versorgungskapazitäten des deutschen Gesundheitssystems strukturell in Frage stellt.
t1::C1::vielzitiert::original | t1 | C1 | vielzitiert | original | Was die Studie auch zeigt: Die vielzitierte politische Apathie junger Menschen ist eine Fehldiagnose.
t1::C1::die fehldiagnose::original | t1 | C1 | die Fehldiagnose | original | Was die Studie auch zeigt: Die vielzitierte politische Apathie junger Menschen ist eine Fehldiagnose.
t1::C1::belegen::original | t1 | C1 | belegen | original | Die Daten belegen eher das Gegenteil – ein hohes Problembewusstsein, verbunden mit tiefer Skepsis gegenüber der Fähigkeit politischer Institutionen, diese Probleme zu lösen.
t1::C1::das problembewusstsein::original | t1 | C1 | das Problembewusstsein | original | Die Daten belegen eher das Gegenteil – ein hohes Problembewusstsein, verbunden mit tiefer Skepsis gegenüber der Fähigkeit politischer Institutionen, diese Probleme zu lösen.
t1::C1::die gleichgültigkeit::original | t1 | C1 | die Gleichgültigkeit | original | Das ist keine Gleichgültigkeit, sondern rational begründete Entfremdung.
t1::C1::die verhältnisse::original | t1 | C1 | die Verhältnisse | original | Eine Gesellschaft, die 41 Prozent ihrer jüngsten Generation als potenzielle Emigranten verliert, sollte weniger fragen, was mit der Jugend nicht stimmt – und mehr, was mit den Verhältnissen nicht stimmt.
t2::A2::german::original | t2 | A2 | german | original | example_sentence_de
t2::A2::german::generated | t2 | A2 | german | generated | example_sentence_de_generated
t2::A2::das programm::original | t2 | A2 | das Programm | original | Die NASA hat ein neues Programm.
t2::A2::das ziel::original | t2 | A2 | das Ziel | original | Das Ziel ist: Menschen sollen wieder zum Mond fliegen.
t2::A2::der mond::original | t2 | A2 | der Mond | original | Das Ziel ist: Menschen sollen wieder zum Mond fliegen.
t2::A2::die rakete::original | t2 | A2 | die Rakete | original | Die Rakete ist sehr groß und stark.
t2::A2::der astronaut::original | t2 | A2 | der Astronaut | original | Die Astronauten leben im Raumschiff Orion.
t2::A2::das raumschiff::original | t2 | A2 | das Raumschiff | original | Die Astronauten leben im Raumschiff Orion.
t2::A2::die reise::original | t2 | A2 | die Reise | original | Die Reise zum Mond dauert mehrere Tage.
t2::A2::dauern::original | t2 | A2 | dauern | original | Die Reise zum Mond dauert mehrere Tage.
t2::A2::der/die jugendliche::original | t2 | A2 | der/die Jugendliche | original | Viele Kinder und Jugendliche finden das Programm spannend.
t2::A2::spannend::original | t2 | A2 | spannend | original | Viele Kinder und Jugendliche finden das Programm spannend.
t2::A2::der mars::original | t2 | A2 | der Mars | original | Vielleicht fliegt eines Tages ein Mensch auch zum Mars.
t2::A2::der traum::original | t2 | A2 | der Traum | original | Das ist der Traum der NASA.
t2::B1::german::original | t2 | B1 | german | original | example_sentence_de
t2::B1::german::generated | t2 | B1 | german | generated | example_sentence_de_generated
t2::B1::der fortschritt::original | t2 | B1 | der Fortschritt | original | Das Artemis-Programm der NASA macht Fortschritte.
t2::B1::der testflug::original | t2 | B1 | der Testflug | original | Nach mehreren Testflügen soll in den nächsten Monaten erstmals wieder ein Mensch die Mondoberfläche betreten – zum ersten Mal seit der Apollo-17-Mission im Jahr 1972.
t2::B1::die mondoberfläche::original | t2 | B1 | die Mondoberfläche | original | Nach mehreren Testflügen soll in den nächsten Monaten erstmals wieder ein Mensch die Mondoberfläche betreten – zum ersten Mal seit der Apollo-17-Mission im Jahr 1972.
t2::B1::landen::original | t2 | B1 | landen | original | Besonders historisch: Diesmal soll auch eine Frau auf dem Mond landen.
t2::B1::komplex::original | t2 | B1 | komplex | original | Das Programm ist technisch sehr komplex.
t2::B1::leistungsstark::original | t2 | B1 | leistungsstark | original | Die Rakete SLS ist die leistungsstärkste, die die NASA je gebaut hat.
t2::B1::transportieren::original | t2 | B1 | transportieren | original | Das Raumschiff Orion kann vier Astronautinnen und Astronauten transportieren.
t2::B1::die raumstation::original | t2 | B1 | die Raumstation | original | Zusätzlich ist eine kleine Raumstation namens Gateway in der Mondumgebung geplant.
t2::B1::beteiligt sein::original | t2 | B1 | beteiligt sein | original | Auch Europa ist beteiligt: Das Servicemodul des Orion-Raumschiffs wurde von der Europäischen Raumfahrtagentur ESA entwickelt.
t2::B1::das servicemodul::original | t2 | B1 | das Servicemodul | original | Auch Europa ist beteiligt: Das Servicemodul des Orion-Raumschiffs wurde von der Europäischen Raumfahrtagentur ESA entwickelt.
t2::B1::die raumfahrtagentur::original | t2 | B1 | die Raumfahrtagentur | original | Auch Europa ist beteiligt: Das Servicemodul des Orion-Raumschiffs wurde von der Europäischen Raumfahrtagentur ESA entwickelt.
t2::B1::die erforschung::original | t2 | B1 | die Erforschung | original | Für viele junge Menschen ist Artemis ein Zeichen, dass die Erforschung des Weltraums weitergeht – und dass der Mars als nächstes Ziel näher rückt.
t2::B1::näher rücken::original | t2 | B1 | näher rücken | original | Für viele junge Menschen ist Artemis ein Zeichen, dass die Erforschung des Weltraums weitergeht – und dass der Mars als nächstes Ziel näher rückt.
t2::B2::german::original | t2 | B2 | german | original | example_sentence_de
t2::B2::german::generated | t2 | B2 | german | generated | example_sentence_de_generated
t2::B2::das prestigeprojekt::original | t2 | B2 | das Prestigeprojekt | original | Das Artemis-Programm der NASA ist mehr als ein Prestigeprojekt – es ist die Grundlage für die langfristige Erforschung des Sonnensystems.
t2::B2::die grundlage::original | t2 | B2 | die Grundlage | original | Das Artemis-Programm der NASA ist mehr als ein Prestigeprojekt – es ist die Grundlage für die langfristige Erforschung des Sonnensystems.
t2::B2::das sonnensystem::original | t2 | B2 | das Sonnensystem | original | Das Artemis-Programm der NASA ist mehr als ein Prestigeprojekt – es ist die Grundlage für die langfristige Erforschung des Sonnensystems.
t2::B2::unbemannt::original | t2 | B2 | unbemannt | original | Nach dem erfolgreichen unbemannten Artemis-I-Flug 2022 und dem Umflug mit Besatzung bei Artemis II soll die Mission Artemis III erstmals seit über 50 Jahren wieder Menschen auf dem Mond landen lassen, diesmal in der Nähe des südlichen Pols.
t2::B2::die besatzung::original | t2 | B2 | die Besatzung | original | Nach dem erfolgreichen unbemannten Artemis-I-Flug 2022 und dem Umflug mit Besatzung bei Artemis II soll die Mission Artemis III erstmals seit über 50 Jahren wieder Menschen auf dem Mond landen lassen, diesmal in der Nähe des südlichen Pols.
t2::B2::vermuten::original | t2 | B2 | vermuten | original | Der südliche Pol ist wissenschaftlich besonders interessant: Dort vermuten Forscher große Mengen Wassereis in dauerhaft beschatteten Kratern.
t2::B2::beschattet::original | t2 | B2 | beschattet | original | Der südliche Pol ist wissenschaftlich besonders interessant: Dort vermuten Forscher große Mengen Wassereis in dauerhaft beschatteten Kratern.
t2::B2::der treibstoff::original | t2 | B2 | der Treibstoff | original | Wasser ist nicht nur zum Trinken wichtig – es könnte auch als Treibstoff für künftige Missionen dienen.
t2::B2::das sprungbrett::original | t2 | B2 | das Sprungbrett | original | Das Ziel ist eine dauerhafte menschliche Präsenz auf dem Mond als Sprungbrett für Marsflüge in den 2040er Jahren.
t2::B2::eingebunden sein::original | t2 | B2 | eingebunden sein | original | Die europäische Raumfahrtagentur ESA ist über das Servicemodul des Orion-Raumschiffs tief in das Programm eingebunden.
t2::B2::industriepolitisch::original | t2 | B2 | industriepolitisch | original | Für Deutschland ist das Artemis-Programm auch industriepolitisch relevant: Deutsche Unternehmen wie Airbus Defence and Space liefern Schlüsselkomponenten und profitieren vom wachsenden Weltraummarkt.
t2::B2::die schlüsselkomponente::original | t2 | B2 | die Schlüsselkomponente | original | Für Deutschland ist das Artemis-Programm auch industriepolitisch relevant: Deutsche Unternehmen wie Airbus Defence and Space liefern Schlüsselkomponenten und profitieren vom wachsenden Weltraummarkt.
t2::C1::german::original | t2 | C1 | german | original | example_sentence_de
t2::C1::german::generated | t2 | C1 | german | generated | example_sentence_de_generated
t2::C1::der meilenstein::original | t2 | C1 | der Meilenstein | original | Das Artemis-Programm der NASA ist, je nach Perspektive, ein wissenschaftlicher Meilenstein, ein geopolitisches Statement oder ein Geschäftsmodell – und in Wirklichkeit ist es alle drei gleichzeitig.
t2::C1::die leistungsfähigkeit::original | t2 | C1 | die Leistungsfähigkeit | original | Die Rückkehr zum Mond nach über fünfzig Jahren ist nicht bloß eine Frage technischer Leistungsfähigkeit, sondern Ausdruck einer veränderten geopolitischen Konstellation, in der die USA, China und zunehmend auch Europa um Einfluss im erdnahen Weltraum konkurrieren.
t2::C1::die konstellation::original | t2 | C1 | die Konstellation | original | Die Rückkehr zum Mond nach über fünfzig Jahren ist nicht bloß eine Frage technischer Leistungsfähigkeit, sondern Ausdruck einer veränderten geopolitischen Konstellation, in der die USA, China und zunehmend auch Europa um Einfluss im erdnahen Weltraum konkurrieren.
t2::C1::die weltraumabitionen::original | t2 | C1 | die Weltraumabitionen | original | Für Washington ist Artemis damit auch eine Antwort auf Pekings Weltraumambitionen – und auf die Frage, wer die Regeln für die Nutzung lunarer Ressourcen wie Wassereis und Helium-3 setzen wird.
t2::C1::lunare ressourcen::original | t2 | C1 | lunare Ressourcen | original | Für Washington ist Artemis damit auch eine Antwort auf Pekings Weltraumambitionen – und auf die Frage, wer die Regeln für die Nutzung lunarer Ressourcen wie Wassereis und Helium-3 setzen wird.
t2::C1::programmatisch::original | t2 | C1 | programmatisch | original | Europa liefert Technologie, hat aber kaum Einfluss auf programmatische Entscheidungen.
t2::C1::das defizit::original | t2 | C1 | das Defizit | original | Eine eigenständige europäische Mondstrategie fehlt bis heute – ein Defizit, das angesichts des wachsenden kommerziellen Weltraummarkts zunehmend ins Gewicht fällt.
t2::C1::ins gewicht fallen::original | t2 | C1 | ins Gewicht fallen | original | Eine eigenständige europäische Mondstrategie fehlt bis heute – ein Defizit, das angesichts des wachsenden kommerziellen Weltraummarkts zunehmend ins Gewicht fällt.
t2::C1::die resonanz::original | t2 | C1 | die Resonanz | original | Für eine Generation junger Menschen, die mit dem Internet aufgewachsen ist, hat Artemis eine besondere Resonanz: Es ist das erste große kollektive Zukunftsprojekt, das ihnen nicht als Problemlösung präsentiert wird, sondern als Horizont.
t3::A2::german::original | t3 | A2 | german | original | example_sentence_de
t3::A2::german::generated | t3 | A2 | german | generated | example_sentence_de_generated
t3::A2::der/die abiturient/in::original | t3 | A2 | der/die Abiturient/in | original | April 2026 — Tagesspiegel In Berlin haben Abiturientinnen und Abiturienten eine Party gefeiert.
t3::A2::das planetarium::original | t3 | A2 | das Planetarium | original | Die Party war am Planetarium in Prenzlauer Berg.
t3::A2::der lärm::original | t3 | A2 | der Lärm | original | Sie haben viel Lärm gemacht und Müll hinterlassen.
t3::A2::der müll::original | t3 | A2 | der Müll | original | Sie haben viel Lärm gemacht und Müll hinterlassen.
t3::A2::hinterlassen::original | t3 | A2 | hinterlassen | original | Sie haben viel Lärm gemacht und Müll hinterlassen.
t3::A2::sich entschuldigen::original | t3 | A2 | sich entschuldigen | original | Sie haben sich entschuldigt.
t3::A2::sauber machen::original | t3 | A2 | sauber machen | original | Und sie haben den Park sauber gemacht.
t3::A2::der schulleiter::original | t3 | A2 | der Schulleiter | original | Der Schulleiter war stolz auf seine Schüler.
t3::A2::stolz::original | t3 | A2 | stolz | original | Der Schulleiter war stolz auf seine Schüler.
t3::A2::der fehler::original | t3 | A2 | der Fehler | original | Er sagte: Das war ein Fehler – aber die Reaktion war richtig.
t3::A2::die reaktion::original | t3 | A2 | die Reaktion | original | Er sagte: Das war ein Fehler – aber die Reaktion war richtig.
t3::A2::die verantwortung::original | t3 | A2 | die Verantwortung | original | Die Jugendlichen haben Verantwortung übernommen.
t3::A2::übernehmen::original | t3 | A2 | übernehmen | original | Die Jugendlichen haben Verantwortung übernommen.
t3::B1::german::original | t3 | B1 | german | original | example_sentence_de
t3::B1::german::generated | t3 | B1 | german | generated | example_sentence_de_generated
t3::B1::eskalieren::original | t3 | B1 | eskalieren | original | April 2026 — Tagesspiegel Am vergangenen Wochenende eskalierte eine Abiturfeier am Planetarium in Berlin-Prenzlauer Berg.
t3::B1::die abiturfeier::original | t3 | B1 | die Abiturfeier | original | April 2026 — Tagesspiegel Am vergangenen Wochenende eskalierte eine Abiturfeier am Planetarium in Berlin-Prenzlauer Berg.
t3::B1::der schaden::original | t3 | B1 | der Schaden | original | Mehrere hundert Schülerinnen und Schüler feierten bis in die Nacht – laut, mit viel Müll und Schäden an Pflanzen und Bänken im Park.
t3::B1::der anwohner::original | t3 | B1 | der Anwohner | original | Anwohner riefen die Polizei.
t3::B1::die aufmerksamkeit::original | t3 | B1 | die Aufmerksamkeit | original | Was danach passierte, sorgte für positive Aufmerksamkeit: Die Klassen organisierten eigenständig eine Wiedergutmachungsaktion.
t3::B1::eigenständig::original | t3 | B1 | eigenständig | original | Was danach passierte, sorgte für positive Aufmerksamkeit: Die Klassen organisierten eigenständig eine Wiedergutmachungsaktion.
t3::B1::die wiedergutmachungsaktion::original | t3 | B1 | die Wiedergutmachungsaktion | original | Was danach passierte, sorgte für positive Aufmerksamkeit: Die Klassen organisierten eigenständig eine Wiedergutmachungsaktion.
t3::B1::der müllbeutel::original | t3 | B1 | der Müllbeutel | original | Am folgenden Samstag kamen Dutzende Schülerinnen und Schüler mit Handschuhen und Müllbeuteln in den Park, räumten auf und entschuldigten sich bei Parkbesuchern.
t3::B1::aufräumen::original | t3 | B1 | aufräumen | original | Am folgenden Samstag kamen Dutzende Schülerinnen und Schüler mit Handschuhen und Müllbeuteln in den Park, räumten auf und entschuldigten sich bei Parkbesuchern.
t3::B1::die bereitschaft::original | t3 | B1 | die Bereitschaft | original | Aber die Bereitschaft zur Wiedergutmachung zeigt, dass diese Jugendlichen gelernt haben, Verantwortung zu übernehmen.
t3::B2::german::original | t3 | B2 | german | original | example_sentence_de
t3::B2::german::generated | t3 | B2 | german | generated | example_sentence_de_generated
t3::B2::die nachbarschaftsbeschwerde::original | t3 | B2 | die Nachbarschaftsbeschwerde | original | April 2026 — Tagesspiegel Was als klassische Nachbarschaftsbeschwerde begann, wurde zu einem kleinen Lehrstück über Verantwortung und Gemeinschaft.
t3::B2::das lehrstück::original | t3 | B2 | das Lehrstück | original | April 2026 — Tagesspiegel Was als klassische Nachbarschaftsbeschwerde begann, wurde zu einem kleinen Lehrstück über Verantwortung und Gemeinschaft.
t3::B2::die gemeinschaft::original | t3 | B2 | die Gemeinschaft | original | April 2026 — Tagesspiegel Was als klassische Nachbarschaftsbeschwerde begann, wurde zu einem kleinen Lehrstück über Verantwortung und Gemeinschaft.
t3::B2::das beet::original | t3 | B2 | das Beet | original | Die Abiturienten-Party am Planetarium in Prenzlauer Berg hatte am vergangenen Wochenende Spuren hinterlassen: zerstörte Beete, herumliegender Müll, erboster Anwohner.
t3::B2::erbost::original | t3 | B2 | erbost | original | Die Abiturienten-Party am Planetarium in Prenzlauer Berg hatte am vergangenen Wochenende Spuren hinterlassen: zerstörte Beete, herumliegender Müll, erboster Anwohner.
t3::B2::auflösen::original | t3 | B2 | auflösen | original | Die Polizei wurde gerufen, die Feier aufgelöst.
t3::B2::ungewohnt::original | t3 | B2 | ungewohnt | original | Was folgte, war ungewohnt: Ohne Aufforderung durch Schulleitung oder Eltern organisierten die betroffenen Klassen selbst eine Wiedergutmachungsaktion.
t3::B2::die aufforderung::original | t3 | B2 | die Aufforderung | original | Was folgte, war ungewohnt: Ohne Aufforderung durch Schulleitung oder Eltern organisierten die betroffenen Klassen selbst eine Wiedergutmachungsaktion.
t3::B2::erscheinen::original | t3 | B2 | erscheinen | original | Rund sechzig Schülerinnen und Schüler erschienen am Samstag mit Arbeitshandschuhen, beseitigten die Schäden und führten Gespräche mit Parkbesuchern.
t3::B2::beseitigen::original | t3 | B2 | beseitigen | original | Rund sechzig Schülerinnen und Schüler erschienen am Samstag mit Arbeitshandschuhen, beseitigten die Schäden und führten Gespräche mit Parkbesuchern.
t3::B2::die entschuldigungskarte::original | t3 | B2 | die Entschuldigungskarte | original | Einige hatten selbstgeschriebene Entschuldigungskarten mitgebracht.
